Name;Price;Марка;Размер;НТП;Тип;Способ производства;Артикул;Описание
Труба 13ХФА 83 мм в Екатеринбурге;80;13ХФА;83;ГОСТ 18482-79;конструкционная;горячедеформированная;5360000001;Труба 13ХФА 83 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 40ХН 34 мм в Екатеринбурге;40;40ХН;34;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000002;Труба 40ХН 34 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 16ХСН 155 мм в Екатеринбурге;40;16ХСН;155;ГОСТ 18482-79;конструкционная;горячедеформированная;5360000003;Труба 16ХСН 155 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 03Х17Н14М3 6 мм в Екатеринбурге;55;03Х17Н14М3;6;ГОСТ 8732-78;конструкционная;-;5360000004;Труба 03Х17Н14М3 6 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 60 152 мм в Екатеринбурге;55;сталь 60;152;ГОСТ 8734;конструкционная;горячедеформированная;5360000005;Труба сталь 60 152 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 95Х18 168 мм в Екатеринбурге;65;95Х18;168;ГОСТ 8732-78;конструкционная;горячедеформированная;5360000006;Труба 95Х18 168 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 25Г 160 мм в Екатеринбурге;40;25Г;160;ГОСТ 8732-75;конструкционная;горячедеформированная;5360000007;Труба 25Г 160 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба Инконель 600 63 мм в Екатеринбурге;80;Инконель 600;63;ГОСТ 8734;конструкционная;горячедеформированная;5360000008;Труба Инконель 600 63 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20А 160 мм в Екатеринбурге;55;20А;160;ГОСТ 8732-78;конструкционная;горячедеформированная;5360000009;Труба 20А 160 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 80С 32 мм в Екатеринбурге;75;80С;32;ГОСТ 8732-78;конструкционная;-;5360000010;Труба 80С 32 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х13 28 мм в Екатеринбурге;45;20Х13;28;ГОСТ 21729-76;конструкционная;горячедеформированная;5360000011;Труба 20Х13 28 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10ХСНД 12 мм в Екатеринбурге;40;10ХСНД;12;ГОСТ 8734-75;конструкционная;-;5360000012;Труба 10ХСНД 12 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 95Х18 25 мм в Екатеринбурге;55;95Х18;25;ГОСТ 8734-75;конструкционная;-;5360000013;Труба 95Х18 25 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 60 194 мм в Екатеринбурге;55;сталь 60;194;ГОСТ 8734;конструкционная;горячедеформированная;5360000014;Труба сталь 60 194 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 80С 57 мм в Екатеринбурге;75;80С;57;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000015;Труба 80С 57 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ШХ15СГ 210 мм в Екатеринбурге;65;ШХ15СГ;210;ГОСТ 18482-79;конструкционная;-;5360000016;Труба ШХ15СГ 210 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 16ГС 146 мм в Екатеринбурге;120;16ГС;146;ГОСТ 21729-76;конструкционная;горячедеформированная;5360000017;Труба 16ГС 146 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 03Х18Н11 6 мм в Екатеринбурге;260;03Х18Н11;6;ГОСТ 8734;конструкционная;горячедеформированная;5360000018;Труба 03Х18Н11 6 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба Х 45 мм в Екатеринбурге;265;Х;45;ГОСТ 21729-76;конструкционная;-;5360000019;Труба Х 45 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ХН60ВТ 30 мм в Екатеринбурге;120;ХН60ВТ;30;ГОСТ 18482-79;конструкционная;горячедеформированная;5360000020;Труба ХН60ВТ 30 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 75 820 мм в Екатеринбурге;Договорная;сталь 75;820;ГОСТ 9941-81;конструкционная;-;5360000021;Труба сталь 75 820 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 65Г 180 мм в Екатеринбурге;Договорная;65Г;180;ГОСТ 9941-81;конструкционная;-;5360000022;Труба 65Г 180 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 95Х18 89 мм в Екатеринбурге;Договорная;95Х18;89;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000023;Труба 95Х18 89 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08Х22Н6Т 12 мм в Екатеринбурге;Договорная;08Х22Н6Т;12;ГОСТ 8734-75;конструкционная;горячедеформированная;5360000024;Труба 08Х22Н6Т 12 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х18Н10Т 42 мм в Екатеринбурге;Договорная;12Х18Н10Т;42;ГОСТ 8734-75;конструкционная;горячедеформированная;5360000025;Труба 12Х18Н10Т 42 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Г2С1Д 45 мм в Екатеринбурге;Договорная;10Г2С1Д;45;ГОСТ 8732-75;конструкционная;горячедеформированная;5360000026;Труба 10Г2С1Д 45 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 03Х17Н14М3 73 мм в Екатеринбурге;Договорная;03Х17Н14М3;73;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000027;Труба 03Х17Н14М3 73 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 36НХТЮ 50 мм в Екатеринбурге;Договорная;36НХТЮ;50;ГОСТ 18482-79;конструкционная;горячедеформированная;5360000028;Труба 36НХТЮ 50 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 13ХФА 60 мм в Екатеринбурге;Договорная;13ХФА;60;ГОСТ 21729-76;конструкционная;горячедеформированная;5360000029;Труба 13ХФА 60 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 2 38 мм в Екатеринбурге;Договорная;сталь 2;38;ГОСТ 21729-76;конструкционная;горячедеформированная;5360000030;Труба сталь 2 38 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Х23Н18 83 мм в Екатеринбурге;Договорная;10Х23Н18;83;ГОСТ 8734-75;конструкционная;горячедеформированная;5360000031;Труба 10Х23Н18 83 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 40Х 38 мм в Екатеринбурге;Договорная;40Х;38;ГОСТ 8734-75;конструкционная;горячедеформированная;5360000032;Труба 40Х 38 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 30ХМА 121 мм в Екатеринбурге;Договорная;30ХМА;121;ГОСТ 8732-75;конструкционная;-;5360000033;Труба 30ХМА 121 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба Инконель 600 720 мм в Екатеринбурге;Договорная;Инконель 600;720;ГОСТ 18482-79;конструкционная;-;5360000034;Труба Инконель 600 720 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 80 134 мм в Екатеринбурге;Договорная;сталь 80;134;ГОСТ 18482-79;конструкционная;горячедеформированная;5360000035;Труба сталь 80 134 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08Х18Н10 50 мм в Екатеринбурге;Договорная;08Х18Н10;50;ГОСТ 8734;конструкционная;горячедеформированная;5360000036;Труба 08Х18Н10 50 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08Х17Н13М2Т 34 мм в Екатеринбурге;Договорная;08Х17Н13М2Т;34;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000037;Труба 08Х17Н13М2Т 34 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08кп 426 мм в Екатеринбурге;Договорная;08кп;426;ГОСТ 8734-75;конструкционная;горячедеформированная;5360000038;Труба 08кп 426 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х20Н14С2 136 мм в Екатеринбурге;Договорная;20Х20Н14С2;136;ГОСТ 21729-76;конструкционная;горячедеформированная;5360000039;Труба 20Х20Н14С2 136 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х17 30 мм в Екатеринбурге;Договорная;12Х17;30;ГОСТ 8732-75;конструкционная;-;5360000040;Труба 12Х17 30 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 20 377 мм в Екатеринбурге;Договорная;сталь 20;377;ГОСТ 8732-78;конструкционная;горячедеформированная;5360000041;Труба сталь 20 377 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба Ст2пс 245 мм в Екатеринбурге;Договорная;Ст2пс;245;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000042;Труба Ст2пс 245 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 85 180 мм в Екатеринбурге;Договорная;сталь 85;180;ГОСТ 18482-79;конструкционная;-;5360000043;Труба сталь 85 180 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Г2С1 43,5 мм в Екатеринбурге;Договорная;10Г2С1;43.5;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000044;Труба 10Г2С1 43,5 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 35Х 95 мм в Екатеринбурге;Договорная;35Х;95;ГОСТ 18482-79;конструкционная;горячедеформированная;5360000045;Труба 35Х 95 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 15ХМ 180 мм в Екатеринбурге;Договорная;15ХМ;180;ГОСТ 18482-79;конструкционная;горячедеформированная;5360000047;Труба 15ХМ 180 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ХН60Ю 42,3 мм в Екатеринбурге;Договорная;ХН60Ю;42.3;ГОСТ 8732-75;жаропрочная;горячедеформированная;5360000048;Труба ХН60Ю 42,3 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 08Г2С 252 мм в Екатеринбурге;Договорная;08Г2С;252;ГОСТ 18482-79;конструкционная;горячедеформированная;5360000049;Труба 08Г2С 252 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12Х2НВФА 20 мм в Екатеринбурге;Договорная;12Х2НВФА;20;ГОСТ 8732-75;конструкционная;горячедеформированная;5360000050;Труба 12Х2НВФА 20 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12ХН2 15 мм в Екатеринбурге;Договорная;12ХН2;15;ГОСТ 8734-75;конструкционная;-;5360000051;Труба 12ХН2 15 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ВТ1-0 1020 мм в Екатеринбурге;Договорная;ВТ1-0;1020;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000052;Труба ВТ1-0 1020 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 10Х18Н10Т 377 мм в Екатеринбурге;Договорная;10Х18Н10Т;377;ГОСТ 8734-75;конструкционная;горячедеформированная;5360000053;Труба 10Х18Н10Т 377 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 13Х11Н2В2МФ 7,5 мм в Екатеринбурге;Договорная;13Х11Н2В2МФ;7.5;ГОСТ 21729-76;жаропрочная;горячедеформированная;5360000054;Труба 13Х11Н2В2МФ 7,5 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Х25Н20С2 60 мм в Екатеринбурге;Договорная;20Х25Н20С2;60;ГОСТ 8734;конструкционная;горячедеформированная;5360000055;Труба 20Х25Н20С2 60 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба У7А 114 мм в Екатеринбурге;Договорная;У7А;114;ГОСТ 8734-75;конструкционная;горячедеформированная;5360000056;Труба У7А 114 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ШХ15 203 мм в Екатеринбурге;Договорная;ШХ15;203;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000057;Труба ШХ15 203 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 45 83 мм в Екатеринбурге;Договорная;сталь 45;83;ГОСТ 8732-75;конструкционная;горячедеформированная;5360000058;Труба сталь 45 83 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 20Г2 160 мм в Екатеринбурге;Договорная;20Г2;160;ГОСТ 21729-76;конструкционная;-;5360000059;Труба 20Г2 160 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 20 35 мм в Екатеринбурге;Договорная;сталь 20;35;ГОСТ 21729-76;конструкционная;горячедеформированная;5360000060;Труба сталь 20 35 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 25ГС 1220 мм в Екатеринбурге;Договорная;25ГС;1220;ГОСТ 18482-79;конструкционная;горячедеформированная;5360000061;Труба 25ГС 1220 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 12ХГН2МФБАЮ 3020 мм в Екатеринбурге;Договорная;12ХГН2МФБАЮ;3020;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000062;Труба 12ХГН2МФБАЮ 3020 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба сталь 15 40 мм в Екатеринбурге;Договорная;сталь 15;40;ГОСТ 9941-81;конструкционная;горячедеформированная;5360000063;Труба сталь 15 40 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 9941-81. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ПТ-1М 18 мм в Екатеринбурге;Договорная;ПТ-1М;18;ГОСТ 8732-78;конструкционная;горячедеформированная;5360000064;Труба ПТ-1М 18 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-78. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 09Г2С 820 мм в Екатеринбурге;Договорная;09Г2С;820;ГОСТ 18482-79;конструкционная;горячедеформированная;5360000065;Труба 09Г2С 820 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 18482-79. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 35Х 14 мм в Екатеринбурге;Договорная;35Х;14;ГОСТ 8732-75;конструкционная;горячедеформированная;5360000066;Труба 35Х 14 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба ПТ-1М 127 мм в Екатеринбурге;Договорная;ПТ-1М;127;ГОСТ 8734;конструкционная;-;5360000067;Труба ПТ-1М 127 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8734. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба 70Г 8 мм в Екатеринбурге;Договорная;70Г;8;ГОСТ 21729-76;конструкционная;горячедеформированная;5360000068;Труба 70Г 8 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 21729-76. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
Труба Инконель 600 140 мм в Екатеринбурге;Договорная;Инконель 600;140;ГОСТ 8732-75;конструкционная;горячедеформированная;5360000069;Труба Инконель 600 140 мм – изделие, имеющее круглую полую форму. Для изготовления используется конструкционная сталь. Производственный процесс устанавливается ГОСТ 8732-75. Отличается высокой прочностью и износоустойчивостью, дополнительные свойства зависят от марки.
